# datasetName, datasetSize, codeMethod, CodeSize, Precision, Recall, FScore
Resources/names/additions.txt,600,soundex,5,0.9430949,0.3023746,0.4579284
Resources/names/subs.txt,600,soundex,5,0.9085317,0.2445526,0.38537303
Resources/names/deletions.txt,600,soundex,5,0.92541254,0.36974308,0.52837646
Resources/names/same_sounded.txt,600,soundex,5,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,600,soundex,6,0.9780702,0.2176856,0.3561125
Resources/names/subs.txt,600,soundex,6,0.9392857,0.18136719,0.3040292
Resources/names/deletions.txt,600,soundex,6,0.9448845,0.30465186,0.46074823
Resources/names/same_sounded.txt,600,soundex,6,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,600,soundex,7,0.9766082,0.1979089,0.32912153
Resources/names/subs.txt,600,soundex,7,0.9392857,0.15945162,0.27262315
Resources/names/deletions.txt,600,soundex,7,0.9443894,0.27770707,0.42920282
Resources/names/same_sounded.txt,600,soundex,7,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,600,soundex,8,0.9766082,0.19615449,0.32669196
Resources/names/subs.txt,600,soundex,8,0.9392857,0.15766592,0.2700089
Resources/names/deletions.txt,600,soundex,8,0.95676565,0.26927942,0.42027375
Resources/names/same_sounded.txt,600,soundex,8,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,600,soundex,9,0.9766082,0.19615449,0.32669196
Resources/names/subs.txt,600,soundex,9,0.9392857,0.15766592,0.2700089
Resources/names/deletions.txt,600,soundex,9,0.95676565,0.2680418,0.4187649
Resources/names/same_sounded.txt,600,soundex,9,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,600,soundex,10,0.9766082,0.19615449,0.32669196
Resources/names/subs.txt,600,soundex,10,0.9392857,0.15766592,0.2700089
Resources/names/deletions.txt,600,soundex,10,0.95676565,0.2680418,0.4187649
Resources/names/same_sounded.txt,600,soundex,10,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,600,soundex,11,0.9766082,0.19615449,0.32669196
Resources/names/subs.txt,600,soundex,11,0.9392857,0.15766592,0.2700089
Resources/names/deletions.txt,600,soundex,11,0.95676565,0.2680418,0.4187649
Resources/names/same_sounded.txt,600,soundex,11,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,600,soundex,12,0.9766082,0.19615449,0.32669196
Resources/names/subs.txt,600,soundex,12,0.9392857,0.15766592,0.2700089
Resources/names/deletions.txt,600,soundex,12,0.95676565,0.2680418,0.4187649
Resources/names/same_sounded.txt,600,soundex,12,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,800,soundex,2,0.50789183,0.69750506,0.58778507
Resources/names/subs.txt,800,soundex,2,0.49675974,0.69093585,0.57797486
Resources/names/deletions.txt,800,soundex,2,0.3977032,0.7259288,0.5138768
Resources/names/same_sounded.txt,800,soundex,2,0.5789473,0.9846492,0.72916514
Resources/names/additions.txt,800,soundex,3,0.79903185,0.55046463,0.6518561
Resources/names/subs.txt,800,soundex,3,0.82168645,0.52254546,0.6388311
Resources/names/deletions.txt,800,soundex,3,0.7037333,0.6026937,0.6493063
Resources/names/same_sounded.txt,800,soundex,3,0.84210527,0.9846492,0.9078158
Resources/names/additions.txt,800,soundex,4,0.9273063,0.41858923,0.5768062
Resources/names/subs.txt,800,soundex,4,0.9257135,0.39163625,0.55041265
Resources/names/deletions.txt,800,soundex,4,0.8513563,0.47166613,0.6070282
Resources/names/same_sounded.txt,800,soundex,4,0.9605263,0.9802632,0.97029436
Resources/names/additions.txt,800,soundex,5,0.9534188,0.29852858,0.45468804
Resources/names/subs.txt,800,soundex,5,0.9290371,0.25880128,0.40482947
